no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
5,개화역,483,95,2020-11-02 17,13
6,구로디지털단지역,92,35,2020-11-02 17,13
7,구파발역,399,101,2020-11-02 17,13
8,장안2동,80,37,2020-11-02 17,13
9,동대문공영주차장,1092,933,2020-11-02 17,13
10,마포유수지주차장,505,211,2020-11-02 17,13
11,복정역공영주차장,363,23,2020-11-02 17,13
12,사당노외,184,60,2020-11-02 17,13
13,서린노외주차장,38,19,2020-11-02 17,13
14,세종로,1260,791,2020-11-02 17,13
15,수락산역,157,15,2020-11-02 17,13
16,수서역남,18,3,2020-11-02 17,13
17,수서역북주차장,553,106,2020-11-02 17,13
18,신대방역,60,5,2020-11-02 17,13
19,신방화역,199,39,2020-11-02 17,13
20,신천유수지주차장,164,57,2020-11-02 17,13
21,영등포구청역,137,34,2020-11-02 17,13
22,용산주차빌딩,561,85,2020-11-02 17,13
23,잠실역주차장,346,125,2020-11-02 17,13
24,적선노외,11,-19,2020-11-02 17,13
25,종묘,1317,195,2020-11-02 17,13
26,천왕역,328,9,2020-11-02 17,13
27,천호역,1432,86,2020-11-02 17,13
28,학여울역,180,51,2020-11-02 17,13
29,한강진역,176,61,2020-11-02 17,13
30,화랑대역주차장,319,9,2020-11-02 17,13
31,훈련원공원,873,200,2020-11-02 17,13
1,DDP동측(양쪽),20,20,2020-11-02 18,11
2,웃우물공영,79,22,2020-11-02 18,11
3,가양라이품,38,10,2020-11-02 18,11
4,개화산역주차장,322,74,2020-11-02 18,11
5,개화역,483,111,2020-11-02 18,11
6,구로디지털단지역,92,30,2020-11-02 18,11
7,구파발역,399,112,2020-11-02 18,11
8,장안2동,80,38,2020-11-02 18,11
9,동대문공영주차장,1092,961,2020-11-02 18,11
10,마포유수지주차장,505,207,2020-11-02 18,11
11,복정역공영주차장,363,48,2020-11-02 18,11
12,사당노외,184,50,2020-11-02 18,11
13,서린노외주차장,38,27,2020-11-02 18,11
14,세종로,1260,828,2020-11-02 18,11
15,수락산역,157,26,2020-11-02 18,11
16,수서역남,18,5,2020-11-02 18,11
17,수서역북주차장,553,219,2020-11-02 18,11
18,신대방역,60,9,2020-11-02 18,11
